"-0,169902551","2,04183E-07","1,3253E-08","1,3253E-08.1","1,3253E-08.2","1,1688E-08","1,4818E-08","9,77293E-07","1,3253E-08.3","1,1688E-08.1","2,49691E-06","1,3253E-08.4","4,73363E-07","1,01955E-06","1,3253E-08.5","1,1688E-08.2","2,07749E-06","8,02013E-07","3,62248E-07","1,3253E-08.6","2,30285E-06"
"-0,04766327","2,16703E-07","1,1688E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,1688E-08","4,78058E-07","1,02424E-06","1,3253E-08","1,1688E-08","2,0947E-06","8,02013E-07","3,63813E-07","1,3253E-08","2,31067E-06"
"-0,045659347","2,18268E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,78858E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,78058E-07","1,02424E-06","1,1688E-08","1,1688E-08","2,09157E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,31067E-06"
"-0,043655424","2,15138E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,78058E-07","1,02581E-06","1,3253E-08","1,3253E-08","2,0947E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,31067E-06"
"-0,041651502","2,16703E-07","1,1688E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,74163E-07","1,3253E-08","1,3253E-08","2,50004E-06","1,3253E-08","4,78058E-07","1,02424E-06","1,3253E-08","1,3253E-08","2,09783E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,30911E-06"
"-0,039647579","2,16703E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,78858E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,78058E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,09783E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,30911E-06"
"-0,037643657","2,18268E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,3253E-08","4,79623E-07","1,02268E-06","1,1688E-08","1,3253E-08","2,0994E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,31067E-06"
"-0,035639734","2,18268E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,3253E-08","2,49847E-06","1,1688E-08","4,78058E-07","1,02424E-06","1,3253E-08","1,1688E-08","2,09783E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,31067E-06"
"-0,033635811","2,21398E-07","1,3253E-08","1,1688E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,1688E-08","2,50004E-06","1,3253E-08","4,79623E-07","1,02581E-06","1,1688E-08","1,3253E-08","2,09627E-06","8,02013E-07","3,65378E-07","1,3253E-08","2,30911E-06"
"-0,031631889","2,21398E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,1688E-08","1,3253E-08","2,49847E-06","1,1688E-08","4,78058E-07","1,02424E-06","1,3253E-08","1,3253E-08","2,09783E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,31067E-06"
"-0,029627966","2,21398E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,1688E-08","2,49847E-06","1,3253E-08","4,78058E-07","1,02424E-06","1,1688E-08","1,3253E-08","2,10096E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,31067E-06"
"-0,027624043","2,19833E-07","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,1688E-08","2,49847E-06","1,3253E-08","4,79623E-07","1,02424E-06","1,1688E-08","1,1688E-08","2,09783E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,31224E-06"
"-0,025620121","2,19833E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,74163E-07","1,1688E-08","1,3253E-08","2,49534E-06","1,3253E-08","4,79623E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,10096E-06","8,03578E-07","3,65378E-07","1,3253E-08","2,31224E-06"
"-0,023616198","2,16703E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","9,74163E-07","1,4818E-08","1,3253E-08","2,49534E-06","1,3253E-08","4,81188E-07","1,02268E-06","1,3253E-08","1,3253E-08","2,09783E-06","8,03578E-07","3,63813E-07","1,3253E-08","2,31067E-06"
"-0,021612275","2,19833E-07","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","1,4818E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49378E-06","1,3253E-08","4,79623E-07","1,02581E-06","1,3253E-08","1,3253E-08","2,0994E-06","8,03578E-07","3,63813E-07","1,1688E-08","2,31224E-06"
"-0,019608353","2,19833E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","1,3253E-08","9,74163E-07","1,1688E-08","1,3253E-08","2,49378E-06","1,3253E-08","4,79623E-07","1,02424E-06","1,3253E-08","1,1688E-08","2,0994E-06","8,05143E-07","3,63813E-07","1,3253E-08","2,31067E-06"
"-0,01760443","2,19833E-07","1,3253E-08","1,3253E-08","1,3253E-08","1,1688E-08","1,3253E-08","9,75728E-07","1,3253E-08","1,3253E-08","2,49691E-06","1,3253E-08","4,78058E-07","1,02424E-06","1,1688E-08","1,3253E-08","2,0994E-06","8,05143E-07","3,65378E-07","1,3253E-08","2,31067E-06"
"-0,015600508","2,21398E-07","1,3253E-08","1,1688E-08","1,1688E-08","1,1688E-08","1,3253E-08","9,77293E-07","1,3253E-08","1,3253E-08","2,5016E-06","1,3253E-08","4,79623E-07","1,02424E-06","1,3253E-08","1,3253E-08","2,09627E-06","8,05143E-07","3,63813E-07","1,3253E-08","2,31224E-06"
